"no","id","symbol","name","date_achat","montant","portefeuille","wallet","exchange","date_verification","observation"
"29837","morpho","morpho","Morpho","2025-10-03","0.000000000001","0.7708152","Rabby EWC Base",,"2026-04-16","Launchpad"
"39345","movement","move","Movement","1970-01-01","0","0",,,"1970-01-01",
"51404","vana","vana","Vana","2024-12-16","0.000000000001","1.0479368","Rabby EWC Vana",,"2026-04-25","1 VANA en staking sur https://stake.vana.org/ à 10% APR

VANA s'affiche à tort dans Rabby EWC testnet"
"51415","peaq-2","peaq","peaq",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51784","aixbt","aixbt","aixbt by Virtuals",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37789","gamebuild","game","GameBuild",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"53022","bio-protocol","bio","Bio Protocol","2025-01-03","0.000000000001","18.15149014","Rabby EWC Base",,"2026-04-09","Launchpad Binance"
"31126","toshi","toshi","Toshi",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51100","comedian","ban","Comedian",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2346","swftcoin","swftc","SWFTCOIN","2025-04-21","0.011602317","3737.90687597","Rabby Ledger Ethereum",,"2026-03-17",
"8418","leo-token","leo","LEO Token",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"646","iexec-rlc","rlc","iExec RLC",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"55703","nexpace","nxpc","Nexpace","2025-05-15","0.000000000001","6.73988727","Rabby EWC BSC",,"2026-04-08","Launchpad"
"66681","sahara-ai","sahara","Sahara AI","2025-06-25","0.000000000001","26.14115665","Rabby EWC BSC",,"2026-04-11","Launchpad Binance"
"4376","newton-project","ab","AB","2026-03-07","0.002034117","38696.47682265","Rabby Phantom_Ethereum BSC",,"2026-06-06",
"3695","nexo","nexo","NEXO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12591","wbnb","wbnb","Wrapped BNB","2026-04-05","509.613528055003","0.59762087","Rabby AvaxWallet BSC",,"2026-04-05",
"67905","succinct","prove","Succinct","2025-08-05","0.000000000001","3.25642926","Rabby EWC BSC",,"2026-05-01","Launchpad"
"11038","cartesi","ctsi","Cartesi",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68972","avantis","avnt","Avantis","1970-01-01","0","0",,,"1970-01-01","Launchpad"
"69318","river","river","River",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"66481","egl1","egl1","EGL1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
